Destroy the Rats in the Farmer's Basement,Westhaven Farms,1,5
Infiltrate the Bandit's Lair,Westhaven Farms,2,4
Defeat Goliad,Candy Kingdom,20,25
Locate the Lich's Lair,Costal Wasteland,35,40
Atone for Shoko's Sins,Finn's Treehouse,15,17
Make an Amazing Sandwich,Finn's Treehouse,7,11
Find the Ice King's Wizard Eye,Ice Kingdom,9,15
Get some pickles from Prismo,Prismo's Home,27,31
Rescue Wildberry Princess from the Ice King,Ice Kingdom,12,14
Win Wizard Battle,Wizard Battle Arena,13,18
Eat Marceline's Fries,Marceline's House,3,6
Rescue Marceline from the Nightosphere,The Nightosphere,21,27
Discover Peppermint Butler's Secrets,Candy Kingdom,35,40
Defeat the Ice King's Penguin Army,Candy Kingdom,27,29
Discover the Ice King's Secret Past,The Past,10,35
Watch what Beemo Does When He Is Alone,Finn's Treehouse,1,50
